"","CamStation","250m","500m","750m","1000m","1250m","1500m","1750m","2000m","2250m","2500m","2750m","3000m","3250m","3500m","3750m","4000m","4250m","4500m","4750m","5000m"
"21","Algar21",2.29751306686365,1.21931062928485,0.825677849167349,1.05500951493884,1.12472871258325,0.97564025158999,0.93049593124805,0.920011289270521,0.910117156502851,0.960572958497221,0.931840340777145,0.902542466678421,0.946548167793352,1.00291875308215,0.98599286612468,0.954158030492537,0.936428618225226,0.933408122892756,0.905982922634791,0.90141902293336
"22","Algar22",2.26910814583509,2.00794467493722,1.64704767612836,1.68036337763732,1.54078774406844,1.47498725329889,1.52485029173564,1.50203669826964,1.39427889623148,1.30693743082868,1.18513661007851,1.10238403638144,1.02721851246827,0.984425930950707,0.965813993498979,0.920711751128202,0.873726413896739,0.843613661997378,0.819107914246875,0.829557036798437
"23","Algar23",4.75747995308158,2.49495220177317,1.67739312773864,1.34100757889378,1.40146493101086,1.3568048242735,1.319230429197,1.2279622669223,1.19214379401911,1.20956533424288,1.19608345543844,1.1595048354495,1.24010156018917,1.24151484274891,1.20489461016838,1.24317458413568,1.31212010238783,1.30176528263028,1.28581070921876,1.24521755876705
"24","Algar24",2.97621312166066,2.65554179832951,2.24575883363563,1.98836150026339,1.61303666736095,1.37468768528392,1.30984450816775,1.47924370425376,1.47671092543562,1.51134082102275,1.52005237415155,1.54283035864024,1.50778949339134,1.48412438393889,1.49870848585713,1.52347781698496,1.6378514536168,1.66563657336886,1.66807450388635,1.65609221645811
"25","Algar25",2.5222233376416,1.26105685264559,0.84059579474176,1.048879246145,1.02849286107133,1.12732702763534,1.0408014970065,1.27967133285925,1.29725071580517,1.26024097731909,1.27822773550881,1.33898980972971,1.3457607720104,1.38064449685673,1.37317032260108,1.36423727688375,1.38078264531818,1.42491682758541,1.4293055896426,1.42461501920455
"26","Algar26",5.03529871562157,2.27156988698151,2.08807685568746,1.95488373309153,2.0054400290409,1.94431814689098,1.84125335459728,1.91572722313823,1.8971056633332,1.75411792829352,1.6316972897384,1.55209168702007,1.51389033923499,1.45586938349363,1.38486459993595,1.36126274913059,1.39822015362672,1.39141172799482,1.40850631880513,1.41973113735703
"27","Algar27",7.50425761645443,3.75257322634281,3.00121483408402,2.94165821088784,2.5043286030995,2.15006375326113,1.89866368982359,1.89071880748873,1.88332894720209,1.81905170060178,1.75366664218614,1.79306797605733,1.72154582652034,1.64320220354561,1.58885997590244,1.69201532082058,1.7339596668446,1.77125269909086,1.76971655219984,1.73468386054083
"28","Algar28",2.52867532752449,3.14329327504776,2.61217720380786,2.39321664890397,2.12182425858186,1.97188505228606,1.74887183103903,1.62840940216862,1.67513781214298,1.60207682815092,1.53951294145866,1.51194700500356,1.49982039208592,1.45660290691016,1.40609230070191,1.41959833549354,1.40802473087543,1.38240075572014,1.38553635770447,1.42026113728217
"29","Algar29",6.66406661156488,4.28182018210912,3.08015959771229,2.25063826290138,1.80921020771468,1.55801971799094,1.5948318878219,1.46790233393718,1.33872643335231,1.5033805214037,1.66078679921605,1.68334573533791,1.63141263473234,1.56714875286718,1.50806082883545,1.48353360463454,1.42029140296826,1.36723275419656,1.37710716150823,1.34556820549049
"30","Algar30",4.76297001923186,4.30343231960457,3.03970795693053,2.31671313796763,2.024227220764,2.05073816556849,1.83706261397548,1.67193516347522,1.65228866891048,1.55863173009252,1.45697093343538,1.41755958958304,1.35722258222934,1.28222415094789,1.21713579619496,1.17350390888246,1.23143435039697,1.25370295283273,1.23425926405335,1.21076583293916
"31","Algar31",4.85612067443062,3.79303536234724,2.94178298005672,2.38417997130768,2.04472289220722,1.97964932051438,1.89575518271387,1.79518052319561,1.82405260115155,1.7407958876817,1.77445313251046,1.78090109222493,1.70935469911356,1.80954169660352,1.85470362428938,1.85275902684268,1.83638110861651,1.83621372140867,1.82315897269508,1.78531402878694
"32","Algar32",2.53938262811503,2.34137775065827,2.2155109767734,1.7408450828126,1.37965929702673,1.13002721181886,1.03433505729452,0.943705845155895,0.845671335816495,0.820052673452154,0.753211971640756,0.692906005463935,0.68625110271335,0.709771090462212,0.714123700406417,0.744640375884456,0.739201874494024,0.742332048900126,0.734314378311928,0.736595451146944
"33","Algar33",2.56491958299026,1.27921034215369,1.42613852274107,1.53126213846651,1.32237905207891,1.10446362089168,0.990757589288996,0.911322889330525,0.834746464580013,0.796702978198221,0.738105409292975,0.680551720740958,0.718635554410801,0.793429505960612,0.805521134308482,0.813502910985376,0.792700437458975,0.76054756549345,0.728858358894729,0.752107069169256
"34","Algar34",5.17139546681967,2.5963546514944,2.86181944940123,2.95121172458399,3.00919801201831,2.93106159024762,2.83431403594063,2.84101733824034,2.70395272525315,2.69152688827734,2.59773516560516,2.46285147228994,2.30985426612633,2.28152769403104,2.18626635796354,2.10022950735419,1.98863164718113,1.9009179024771,1.80673512751876,1.72319245063897
"35","Algar35",2.53871381639979,2.3364316848238,1.67909862206927,1.69070993146232,1.42966966391569,1.44024027654983,1.506080879224,1.5266698664366,1.61645112424551,1.59510750858684,1.50907654148109,1.41882838986566,1.36500794909328,1.38656086615334,1.4020225160395,1.38862189568195,1.35380527499098,1.3054610405972,1.27089351339511,1.26504468332624
"36","Algar36",3.32051804324322,2.57658687936357,2.91335867174295,2.74761703568204,2.696323066651,2.89667015033399,2.89886892228813,2.92461593252206,2.72822137438493,2.49152407551304,2.35443794492735,2.33224612572831,2.29189908441854,2.18573784466378,2.0894634364187,2.05118786818841,1.99792965680017,1.94728929092628,1.90762142821322,1.8378291154597
"37","Algar37",3.81254827808495,1.65618635432803,1.628791000148,2.11287940215234,2.23553313004556,2.0078691385006,1.79529675664368,1.59026767276342,1.69074451981404,1.73539957424588,1.7366578649053,1.67386225245321,1.61433922015805,1.62870698848278,1.57454374868533,1.53125527809791,1.52264729152951,1.55097233011537,1.5668304783632,1.57153061675227
"38","Algar38",4.41077906322311,2.55828877922978,2.00308303355657,1.64672064903499,1.35441681326733,1.16853856969504,1.11760726602695,1.17997518360866,1.35931382138975,1.41605558503091,1.40963793330539,1.47326512908305,1.60704578860898,1.57648924931737,1.51533849955044,1.48195143344171,1.49284734779187,1.52980132626102,1.52113227455942,1.4921530229384
